"Timestamp","1. Country of Residence ","2. Age Range ","3. Gender ","4. Highest Educational Level ","5. Occupation / Professional Role","6. Sector of Work","7. Do you observe visible plastic pollution (macroplastics) in your community? ","8. In what environmental settings do you most often encounter plastic waste? (Select all that apply) ","9. Are you aware of microplastics as an environmental or health issue? ","10. From your perspective, which ecosystems are most affected by plastic pollution in your area? (Select all that apply) ","11. How concerned are you about the environmental and health impacts of microplastics?","12. How knowledgeable are you about the causes and effects of microplastic pollution? ","13. What sources of information influence your understanding of microplastics? (Select all that apply) ","14. Do you believe microplastics affect human health?","15. What specific health effects have you heard about (if any)? (Open-ended) ","16. Have you seen or heard media stories on microplastics or plastic pollution in the past 6 months? ","17. Which platforms most effectively communicate environmental issues in your country? (Rank top 3) ","18. What messages do you remember most from media coverage? (Select all that apply) ","19. To what extent has media coverage influenced your behavior or concern?","20. Have you heard of the circular economy concept?","21. Which actions do you associate with a circular economy? (Select all that apply)","22. Which sectors in your country are actively working toward circular economy practices? (Select all that apply)","23. What are the biggest challenges to a circular economy in your area? (Open-ended) ","24. Which measures do you support to address plastic pollution in your country? (Choose up to 3) ","25.  What actions are you personally taking to reduce plastic waste? (Open-ended)","26. What would motivate you (or others) to take more action?","27. What further actions should be taken to tackle plastic and microplastic pollution? (Open-ended) ","28. Any other suggestions, recommendations, or experiences you’d like to share? (Optional) "
"2025/05/30 12:46:55 PM GMT+4","Rwanda","25-34","Female","Bachelor’s degree","Educator / Teacher","Teacher ","Occasionally","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas;","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas;","Moderately concerned","Somewhat knowledgeable","Television;Radio;Social Media;Scientific publications;NGOs;School/University;Community leaders;Religious institutions;None","Yes","Microplastic affect  many living things include 
Person in respiratory system ","Yes","TV;Radio;WhatsApp;Facebook;TikTok;Newspapers;YouTube;Public forums;Religious institutions","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes;I don’t recall any","Moderately","Yes","Reusing and repairing products;Composting and biodegradables;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Government;Private companies;Startups;Local communities;Schools/universities;NGOs","Is poor roads ","National awareness campaigns;Incentives for plastic alternatives;Public-private partnerships","Avoiding burning plastics materials ","Health education","Keep it on safety place","Yeg"
"2025/05/30 1:02:48 PM GMT+4","Rwanda","25-34","Male","Diploma or equivalent","Educator / Teacher","Public Sector","Never","Farmlands","","Agricultural land","Not concerned","Not knowledgeable","None","Not sure","","Not sure","Religious institutions","I don’t recall any","Not at all","No","None","I’m not sure","None","Ban on single-use plastics","","Health education","I don't know ","None"
"2025/05/30 1:10:56 PM GMT+4","Rwanda","35-44","Female","Secondary education","Educator / Teacher","Teacher","Occasionally","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas;","Moderately concerned","Somewhat knowledgeable","Television;Radio;Social Media;Scientific publications;NGOs;School/University;Community leaders;Religious institutions","Yes","It affects respiratory system ","Yes","TV;Radio;WhatsApp;Facebook;TikTok;Newspapers;YouTube;Public forums;Religious institutions","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Moderately","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Government;Private companies;Startups;Local communities;Schools/universities;NGOs","Poor roads ","National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives","","Religious/cultural messaging","Keep it on safety place","Yes"
"2025/05/30 1:14:32 PM GMT+4","Rwanda","18-24","Female","Secondary education","Educator / Teacher","Public Sector","Never","Farmlands","Yes","Freshwater ecosystems","Extremely concerned","Very knowledgeable","Television","Yes","Diseases ","Yes","TV","Threats to marine life","Very significantly","Yes","Reusing and repairing products","Government","Hbbbs","Ban on single-use plastics","Hh","Financial incentives","Jdkid","Jdbkkw"
"2025/05/30 1:23:00 PM GMT+4","Rwanda","25-34","Female","Secondary education","Educator / Teacher","Teacher","Rarely","Roadsides;Rivers/Lakes;Farmlands;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas","Slightly concerned","Somewhat knowledgeable","Television;Radio;Social Media;Scientific publications;NGOs;School/University;Community leaders;Religious institutions","Yes","Respiysystem","No","Radio;TikTok;Newspapers","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Moderately","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials","Schools/universities","Poor communication tool","Increased recycling infrastructure;National awareness campaigns;Incentives for plastic alternatives;Public-private partnerships","Keep it on saffety place","Religious/cultural messaging","Keep it on safetyplace","No one"
"2025/05/30 2:49:15 PM GMT+4","Ethiopia","25-34","Male","Bachelor’s degree","Government employee","Public Sector","Frequently","Roadsides","Yes","Freshwater ecosystems;Agricultural land","Moderately concerned","Very knowledgeable","Social Media","Yes","Flu","No","Facebook","Climate and environmental damage","Slightly","No","Reusing and repairing products","Startups","Finance","Ban on single-use plastics","Recycling plastic products","Financial incentives","Discourage using of plastics","No"
"2025/05/30 2:50:31 PM GMT+4","Ethiopia","25-34","Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 2:58:45 PM GMT+4","Ethiopia","25-34","Male","Bachelor’s degree","Government employee","Public Sector","Frequently","Roadsides","Yes","Freshwater ecosystems","Moderately concerned","Very knowledgeable","Social Media","Yes","","Yes","TV","Climate and environmental damage","Very significantly","No","Composting and biodegradables","Government","Flu","Integration into school curricula","To motivate city ","Health education","Discharge ","No"
"2025/05/30 3:26:18 PM GMT+4","Niger","25-34","Male","Master’s degree or higher","Educator / Teacher","Public Sector","Never","Roadsides","Yes","Urban areas","I don’t know enough to answer","Very knowledgeable","Community leaders","Yes","","No","Newspapers","Microplastics in drinking water","Moderately","Yes","Redesigning packaging","Government;Private companies;NGOs","","Ban on single-use plastics","","Financial incentives","",""
"2025/05/30 3:51:11 PM GMT+4","Ethiopia","25-34","Male","Bachelor’s degree","Government employee","Public Sector","Occasionally","Rivers/Lakes","Somewhat","Freshwater ecosystems","Moderately concerned","Somewhat knowledgeable","Social Media","Yes","Lang problem and bactira vires","No","TikTok","Climate and environmental damage","Moderately","No","Government incentives for recyclers","Government;Local communities","Turisum area","National awareness campaigns","Noting","Community leadership","awear to socaty","we shuld avoid every plastic "
"2025/05/30 5:31:34 PM GMT+4","Tanzania","45-54","Female","Master’s degree or higher","Educator / Teacher","Public Sector","Occasionally","Roadsides;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Social Media;Scientific publications;School/University","Yes","When ingested, harmful to human body","Yes","TV;Radio;WhatsApp;Newspapers;YouTube","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Very significantly","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Government;Private companies;Startups;Local communities;NGOs","Lack of awareness on the population ","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Rethinking before purchase; reuse, recycle.","Financial incentives","Ban on plastic and provision of alternatives to plastic.","Best solution is to have several Material Recovery Facilities nearby residents homesteads which purchase recyclables. The streets would then be clean, since plastics will now be considered as resources versus problem."
"2025/05/30 5:35:12 PM GMT+4","Rwanda","18-24","Male","Secondary education","Educator / Teacher","Teacher","Occasionally","Roadsides;Rivers/Lakes;Farmlands;Markets or open-air areas","Yes","Agricultural land;Forests","Moderately concerned","Heard about it but unsure","Television","Yes","Respiratory system and mind","No","Radio","Climate and environmental damage","Slightly","Yes","Composting and biodegradables","Government","Poor understanding ","Integration into school curricula","Mobilisation it's impact","Community leadership","Mobilisation","No one"
"2025/05/30 6:11:27 PM GMT+4","Kenya","35-44","Female","Master’s degree or higher","Student","Student","Occasionally","Roadsides;Rivers/Lakes;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Agricultural land;Urban areas","Moderately concerned","Somewhat knowledgeable","Television;Radio;NGOs;Religious institutions","Yes","Clogging of drainage systems leading to cholera and related diseases ","Yes","TV;Newspapers;YouTube;Public forums;Religious institutions","Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Moderately","No","None","I’m not sure","Not knowledgeable about this ","Ban on single-use plastics;Integration into school curricula;Incentives for plastic alternatives;Public-private partnerships;Community-based waste management","Avoid using plastic materials ","Health education","None for now ","None "
"2025/05/30 7:54:05 PM GMT+4","Ethiopia","55-64","Male","Bachelor’s degree","Government employee","Public Sector","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Agricultural land;Forests;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Radio;Social Media;Scientific publications;NGOs;School/University;Community leaders;Religious institutions","Yes","Respiratory system diseases ","Yes","TV;Radio;WhatsApp;Facebook;TikTok;Newspapers;YouTube;Public forums;Religious institutions","Microplastics in drinking water;Food chain contamination;Climate and environmental damage","Moderately","Yes","Reusing and repairing products;Redesigning packaging;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Government;Startups","Lack of resources ","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","I don't buy the plastic materials","Health education","Government control ","I don't have any suggestions "
"2025/05/30 8:00:51 PM GMT+4","Kenya","25-34","Female","Master’s degree or higher","Educator / Teacher","Academic/Research","Rarely","Roadsides;Urban dumpsites","Yes","Freshwater ecosystems;Agricultural land","Extremely concerned","Very knowledgeable","School/University","Yes","Malaria from plastic breeding grounds","No","TV;Radio;TikTok","Threats to marine life;Microplastics in drinking water","Very significantly","Yes","Reusing and repairing products;Industrial recycling;Upcycling waste materials","Government","Lack of efficient recycling technologies
Fear of losing customers when recycling plastics","National awareness campaigns;Strict enforcement of waste laws;Community-based waste management","Recycling some","Better waste facilities","Reduce plastic consumption and improve waste management","None"
